date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:04	36265/36265	---M--	200	added ('OK')	image/jpeg	etag:%221077f1cb74293105241d6bdb36a1db2c%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5fa00f381557c/perfect124-1.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5fa00f381557c/perfect124-1.jpg	(from /en)
22:50:05	65756/65756	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:05%20GMT	/en/projects/perfect-131e	C:/My%20Web%20Sites/canwood//en/projects/perfect-131e.html	(from /en)
22:50:06	43770/43770	---M--	200	added ('OK')	image/jpeg	etag:%22cda8419b4d0fad29a8d79172a74bd0b7%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c05659eb0dc7/perfect-131e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c05659eb0dc7/perfect-131e-00.jpg	(from /en)
22:50:07	65719/65719	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:06%20GMT	/en/projects/perfect-142e	C:/My%20Web%20Sites/canwood//en/projects/perfect-142e.html	(from /en)
22:50:07	38884/38884	---M--	200	added ('OK')	image/jpeg	etag:%220f081093ab9fe8a8510400ac5f90af4d%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0566012282c/perfect-142e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0566012282c/perfect-142e-00.jpg	(from /en)
22:50:08	69383/69383	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:08%20GMT	/en/projects/perfect-146e	C:/My%20Web%20Sites/canwood//en/projects/perfect-146e.html	(from /en)
22:50:08	37639/37639	---M--	200	added ('OK')	image/jpeg	etag:%22e45f8489a4aad01289e5440347fc910f%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c05666dd8c5f/perfect146e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c05666dd8c5f/perfect146e-00.jpg	(from /en)
22:50:11	71764/71764	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:09%20GMT	/en/projects/perfect-148e	C:/My%20Web%20Sites/canwood//en/projects/perfect-148e.html	(from /en)
22:50:12	37161/37161	---M--	200	added ('OK')	image/jpeg	etag:%22994b0d444e856ba878feb96b93805919%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0567330b43d/perfect-148e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0567330b43d/perfect-148e-00.jpg	(from /en)
22:50:13	64121/64121	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:12%20GMT	/en/projects/perfect-167e	C:/My%20Web%20Sites/canwood//en/projects/perfect-167e.html	(from /en)
22:50:13	41967/41967	---M--	200	added ('OK')	image/jpeg	etag:%22543586b15e65e6636b8038cb2275d693%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c77b7f214731/perfect167e-0001b.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c77b7f214731/perfect167e-0001b.jpg	(from /en)
22:50:14	70578/70578	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:14%20GMT	/en/projects/brave-168e	C:/My%20Web%20Sites/canwood//en/projects/brave-168e.html	(from /en)
22:50:14	46452/46452	---M--	200	added ('OK')	image/jpeg	etag:%22bbcd7339a0b3a9cc1b731f456bfbd493%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0561fb354dc/brave-168e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0561fb354dc/brave-168e-00.jpg	(from /en)
22:50:16	69297/69297	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:15%20GMT	/en/projects/perfect-171e	C:/My%20Web%20Sites/canwood//en/projects/perfect-171e.html	(from /en)
22:50:16	32183/32183	---M--	200	added ('OK')	image/jpeg	etag:%221dd54b21e3ff71aadf511e5077292589%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0567ce5f1cb/perfect-171e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0567ce5f1cb/perfect-171e-00.jpg	(from /en)
22:50:17	69354/69354	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:17%20GMT	/en/projects/sonate-173e	C:/My%20Web%20Sites/canwood//en/projects/sonate-173e.html	(from /en)
22:50:18	44581/44581	---M--	200	added ('OK')	image/jpeg	etag:%22e2c1ec106c70a241d2344220385adae0%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0568939b1a8/sonate-173e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0568939b1a8/sonate-173e-00.jpg	(from /en)
22:50:19	68154/68154	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:18%20GMT	/en/projects/brave-176e	C:/My%20Web%20Sites/canwood//en/projects/brave-176e.html	(from /en)
22:50:19	32708/32708	---M--	200	added ('OK')	image/jpeg	etag:%22c2a467cb64065d578f393982d3eb8bdd%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c05626e895f8/brave-176e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c05626e895f8/brave-176e-00.jpg	(from /en)
22:50:20	64509/64509	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:20%20GMT	/en/projects/point-112e	C:/My%20Web%20Sites/canwood//en/projects/point-112e.html	(from /en)
22:50:21	45363/45363	---M--	200	added ('OK')	image/jpeg	etag:%22dd24c4634fb2e41cca0391ae5d44fb23%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056b82a41a5/point112e-1.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056b82a41a5/point112e-1.jpg	(from /en)
22:50:22	69342/69342	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:22%20GMT	/en/projects/point-113-1e	C:/My%20Web%20Sites/canwood//en/projects/point-113-1e.html	(from /en)
22:50:22	39089/39089	---M--	200	added ('OK')	image/jpeg	etag:%221d9b679117ad9441da440f2d4d56e015%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056c22f0d7b/point-113e-c.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056c22f0d7b/point-113e-c.jpg	(from /en)
22:50:24	66215/66215	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:23%20GMT	/en/projects/point-114e	C:/My%20Web%20Sites/canwood//en/projects/point-114e.html	(from /en)
22:50:24	42929/42929	---M--	200	added ('OK')	image/jpeg	etag:%229a17d817270fbe0bd8c9067b1b4a6e8c%22	https://media.jaygroupplc.pl/box/v1/uploads/media/63e0d037466bb/point-114e-przod-06022023.png	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/63e0d037466bb/point-114e-przod-06022023.jpg	(from /en)
22:50:25	68149/68149	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:25%20GMT	/en/projects/point-122e	C:/My%20Web%20Sites/canwood//en/projects/point-122e.html	(from /en)
22:50:26	36847/36847	---M--	200	added ('OK')	image/jpeg	etag:%22bae31f9e0edc2babb7891322b9658d8a%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056c5726c9e/point-122e.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056c5726c9e/point-122e.jpg	(from /en)
22:50:27	64565/64565	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:26%20GMT	/en/projects/point-132e	C:/My%20Web%20Sites/canwood//en/projects/point-132e.html	(from /en)
22:50:27	40595/40595	---M--	200	added ('OK')	image/jpeg	etag:%22a97c4e9a3b1910f6513d813170999307%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056e3aca90b/point132e-1.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056e3aca90b/point132e-1.jpg	(from /en)
22:50:28	66204/66204	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:28%20GMT	/en/projects/point-135e	C:/My%20Web%20Sites/canwood//en/projects/point-135e.html	(from /en)
22:50:29	39988/39988	---M--	200	added ('OK')	image/jpeg	etag:%2273c6a3bc68da6e0d8fe2158c581bfff5%22	https://media.jaygroupplc.pl/box/v1/uploads/media/63e6335b82e74/point-135e-tyl-07022023-1.png	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/63e6335b82e74/point-135e-tyl-07022023-1.jpg	(from /en)
22:50:30	70747/70747	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:29%20GMT	/en/projects/point-138e-v1	C:/My%20Web%20Sites/canwood//en/projects/point-138e-v1.html	(from /en)
22:50:30	29931/29931	---M--	200	added ('OK')	image/jpeg	etag:%22296c474f0af1cee7df8befcd73b69c44%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c385a578b598/point-138e-1.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c385a578b598/point-138e-1.jpg	(from /en)
